o_city_id,d_city_id,flow_pop
110000,120000,14502
110000,130100,1897
110000,130200,3554
110000,130300,1741
110000,130400,816
110000,130500,622
110000,130600,13920
110000,130700,6943
110000,130800,4383
110000,130900,2711
110000,131000,42928
110000,131100,1120
110000,140100,290
110000,140200,676
110000,140300,77
110000,140400,75
110000,140500,23
110000,140600,130
110000,140700,158
110000,140800,85
110000,140900,349
110000,141000,106
110000,141100,58
110000,150100,464
110000,150200,160
110000,150300,10
110000,150400,764
110000,150500,112
110000,150600,100
110000,150700,33
110000,150800,37
110000,150900,336
110000,152200,44
110000,152500,315
110000,152900,13
110000,210100,284
110000,210200,110
110000,210300,65
110000,210400,22
110000,210500,16
110000,210600,35
110000,210700,126
110000,210800,63
110000,210900,49
110000,211000,25
110000,211100,79
110000,211200,25
110000,211300,228
110000,211400,662
110000,220100,114
110000,220200,32
110000,220300,38
110000,220400,10
110000,220500,21
110000,220600,10
110000,220700,32
110000,220800,21
110000,222400,13
110000,230100,137
110000,230200,38
110000,230300,8
110000,230400,9
110000,230500,6
110000,230600,41
110000,230700,5
110000,230800,11
110000,230900,6
110000,231000,16
110000,231100,6
110000,231200,26
110000,232700,5
110000,310000,124
110000,320100,59
110000,320200,28
110000,320300,88
110000,320400,21
110000,320500,51
110000,320600,37
110000,320700,42
110000,320800,26
110000,320900,42
110000,321000,31
110000,321100,10
110000,321200,22
110000,321300,31
110000,330100,57
110000,330200,19
110000,330300,16
110000,330400,15
110000,330500,7
110000,330600,8
110000,330700,15
110000,330800,6
110000,330900,6
110000,331000,12
110000,331100,5
110000,340100,60
110000,340200,30
110000,340300,15
110000,340400,9
110000,340500,16
110000,340600,9
110000,340700,5
110000,340800,34
110000,341000,9
110000,341100,12
110000,341200,70
110000,341300,31
110000,341500,21
110000,341600,34
110000,341700,9
110000,341800,5
110000,350100,15
110000,350200,13
110000,350300,9
110000,350400,7
110000,350500,10
110000,350600,5
110000,350700,9
110000,350800,5
110000,350900,7
110000,360100,27
110000,360200,7
110000,360300,5
110000,360400,15
110000,360500,5
110000,360600,8
110000,360700,6
110000,360800,6
110000,360900,6
110000,361000,5
110000,361100,8
110000,370100,460
110000,370200,264
110000,370300,151
110000,370400,55
110000,370500,202
110000,370600,259
110000,370700,230
110000,370800,167
110000,370900,171
110000,371000,109
110000,371100,49
110000,371300,164
110000,371400,594
110000,371500,280
110000,371600,272
110000,371700,263
110000,410100,261
110000,410200,84
110000,410300,60
110000,410400,33
110000,410500,141
110000,410600,30
110000,410700,86
110000,410800,41
110000,410900,197
110000,411000,40
110000,411100,20
110000,411200,14
110000,411300,76
110000,411400,104
110000,411500,124
110000,411600,165
110000,411700,87
110000,419001,5
110000,420100,76
110000,420200,8
110000,420300,14
110000,420500,15
110000,420600,25
110000,420700,6
110000,420800,9
110000,420900,20
110000,421000,14
110000,421100,19
110000,421200,6
110000,421300,19
110000,422800,7
110000,429004,10
110000,429005,5
110000,429006,7
110000,429021,6
110000,430100,39
110000,430200,5
110000,430300,8
110000,430400,5
110000,430500,9
110000,430600,9
110000,430700,10
110000,430800,7
110000,430900,5
110000,431000,8
110000,431100,7
110000,431200,5
110000,431300,8
110000,433100,7
110000,440100,53
110000,440200,6
110000,440300,36
110000,440400,6
110000,440500,5
110000,440600,13
110000,440700,9
110000,440800,5
110000,440900,5
110000,441200,8
110000,441300,6
110000,441400,5
110000,441500,10
110000,441600,9
110000,441700,9
110000,441800,7
110000,441900,17
110000,442000,8
110000,445100,7
110000,445200,6
110000,445300,7
110000,450100,13
110000,450200,6
